0,De Pijp - Rivierenbuurt,Zuid
1,Bijlmer-Oost,Zuidoost
2,Noord-Oost,Noord
3,Noord-West,Noord
4,Oud-Noord,Noord
5,IJburg - Zeeburgereiland,Oost
6,Centrum-West,Centrum
7,Oostelijk Havengebied - Indische Buurt,Oost
8,Zuid,Zuid
9,Centrum-Oost,Centrum
10,Oud-Oost,Oost
11,Watergraafsmeer,Oost
12,Gaasperdam - Driemond,Zuidoost
13,Westerpark,West
14,Bijlmer-Centrum,Zuidoost
15,Buitenveldert - Zuidas,Zuid
16,Bos en Lommer,West
17,De Baarsjes - Oud-West,West
18,Geuzenveld - Slotermeer,Nieuw-West
19,Slotervaart,Nieuw-West
20,Osdorp,Nieuw-West
21,De Aker - Nieuw Sloten,Nieuw-West